Name,Release Date,Rating,Genre(s),Platform(s),Theme(s),Keyword(s),Developer(s),Player Perspective,Game Mode(s)
Sapo & Watch,2020-10-24,,"Puzzle, Indie",Web browser,Action,"roguelike, frog",Virgula Leal,Bird view / Isometric,Single player
Labarynth of Legendary Loot,2020-10-24,,"Role-playing (RPG), Adventure, Indie","Linux, PC (Microsoft Windows), Mac",Fantasy,"turn-based, roguelike, procedural generation, pixel art, randomly generated dungeons, turn-based rpg",Dominaxis Games,Bird view / Isometric,Single player
Absented Age: Squarebound,2020-10-23,,"Role-playing (RPG), Strategy, Tactical, Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, cute, score attack, story rich",Terunon's Lab,Bird view / Isometric,Single player
Cannibal Crossing,2020-10-23,,"Adventure, Indie",PC (Microsoft Windows),"Action, Survival, Open world","roguelike, crafting","Everplay Interactive, Blow and Try Again, Rocketcat Games",,"Single player, Multiplayer, Co-operative"
The Dungeon Beneath,2020-10-23,,"Strategy, Turn-based strategy (TBS), Indie","PC (Microsoft Windows), Mac",Fantasy,"roguelike, procedural generation, dungeon crawler",Puzzle Box Games,Bird view / Isometric,Single player
Dungeon Falan,2020-10-22,,"Puzzle, Role-playing (RPG), Indie",iOS,Fantasy,"roguelike, match 3",Happy Doze,,Single player
Ziggurat 2,2020-10-22,79.4,"Shooter, Role-playing (RPG), Indie","Xbox Series X|S, PlayStation 4, Linux, PC (Microsoft Windows), PlayStation 5, Mac, Xbox One, Nintendo Switch","Action, Fantasy","retro, wizards, fast paced, roguelite",Milkstone Studios,First person,Single player
Zelter,2020-10-22,,"Shooter, Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),"Action, Horror, Survival, Open world","zombies, roguelike, base building","G1 Playground, SUPERGG.COM",Bird view / Isometric,Single player
Star Shaman,2020-10-22,,"Shooter, Adventure, Indie, Arcade","Oculus VR, Meta Quest 2, Windows Mixed Reality, SteamVR, Oculus Quest","Action, Science fiction","space, family friendly, colorful, roguelite",Ikimasho,"First person, Virtual Reality",Single player
The Red Lantern,2020-10-22,,"Simulator, Adventure, Indie","PC (Microsoft Windows), Nintendo Switch",Survival,"hunting, exploration, resource management, roguelite",Timberline Studio Inc.,First person,Single player
Throne of Fate,2020-10-21,,"Platform, Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),Action,"character customization, 2d, roguelike, permadeath, side-scrolling, pixel graphics",Enoops,Side view,Single player
ScourgeBringer,2020-10-20,69.9,"Fighting, Shooter, Platform, Adventure, Indie, Arcade","PlayStation 4, Linux, Android, PC (Microsoft Windows), iOS, PlayStation 5, Mac, PlayStation Vita, Xbox One, Nintendo Switch",Action,"roguelike, metroidvania, fast paced, permadeath, procedurally generated, roguelite, previously on - prime gaming","Plug In Digital, Dear Villagers, E-Studio, Eastasiasoft, Flying Oak Games",Side view,Single player
Touhou Endless Dream,2020-10-16,,"Shooter, Hack and slash/Beat 'em up, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","vampire, dark, magic, roguelike, frog, doctor, rabbit, fairy, bird, dracula, japan, snow, camera, youkai, manic shooter, puppet, maid, battle, human, difficulty level, phantom, touhou project, bug, bunny, fangame, touhou fangame, magician, third eye, half-human, doujin game","a10a010, MyACG Studio",Bird view / Isometric,Single player
Noita,2020-10-15,78.4,"Shooter, Role-playing (RPG), Simulator, Adventure, Indie, Arcade",PC (Microsoft Windows),"Action, Fantasy, Sandbox","magic, pixel graphics, procedurally generated, roguelite",Nolla Games,Side view,Single player
ElementX,2020-10-09,,"Shooter, Indie, Arcade","PC (Microsoft Windows), Mac",Science fiction,"bullet hell, roguelite",Aerobox Games,Bird view / Isometric,Single player
Knights of the Holy Loop,2020-10-08,,Adventure,Web browser,Fantasy,"roguelike, ludum dare, ludum dare 47",Oddly Shaped Pixels,Side view,Single player
Abiko the Miko 2,2020-10-08,,"Adventure, Indie",PC (Microsoft Windows),Action,roguelike,Nacks Soft,Side view,"Single player, Multiplayer, Co-operative, Split screen"
BlindJump,2020-10-07,,Adventure,"Linux, PC (Microsoft Windows), PlayStation Portable, Game Boy Advance",Action,roguelite,,Bird view / Isometric,"Single player, Multiplayer"
Abiko the Miko,2020-10-01,,"Simulator, Adventure, Indie",PC (Microsoft Windows),Action,roguelike,Nacks Soft,Side view,"Single player, Multiplayer, Co-operative, Split screen"
BroodStar,2020-09-30,89.2,"Shooter, Adventure, Indie, Arcade","PlayStation 4, PC (Microsoft Windows), Xbox One, Nintendo Switch","Action, Science fiction","retro, shoot 'em up, roguelike, shmup",David Schmidthoffer,Bird view / Isometric,Single player
Nodeshifter,2020-09-29,,"Indie, Arcade","Android, iOS","Action, Science fiction",roguelike,Bottled Galaxy,Bird view / Isometric,Single player
Going Under,2020-09-24,78.7,"Fighting, Hack and slash/Beat 'em up, Indie","PlayStation 4, PC (Microsoft Windows), Xbox One, Nintendo Switch","Action, Comedy","dystopian, procedural generation, difficult, female protagonist, satire, roguelite, soulslike","Aggro Crab Games, Team17",Third person,Single player
Arc Wizards,2020-09-22,,"Simulator, Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, 2d platformer",Nacks Soft,Side view,"Single player, Multiplayer, Co-operative, Split screen"
Dashero: Sword & Magic,2020-09-22,,"Hack and slash/Beat 'em up, Adventure","Android, iOS",Fantasy,"3d, cartoony, gamedev, free game, roguelite, in-app purchases",Trèfle & Co. Game,Bird view / Isometric,Single player
Hades,2020-09-17,89.4,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), iOS, PlayStation 5, Mac, Xbox One, Nintendo Switch","Action, Fantasy, Drama","greek mythology, roguelike, difficult, mythology, supernatural, stylized, dungeon crawler, story rich, the game awards - best score or music - nominee, roguelite, netflix, you can pet the dog, the game awards - best action game - winner, the game awards - best art direction - nominee, the game awards - best game direction - nominee, the game awards - best independent game - winner, the game awards - best narrative - nominee, the game awards - best performance - nominee, the game awards - game of the year - nominee, weapons","Supergiant Games, Netflix, Secret 6",Bird view / Isometric,Single player
BPM: Bullets Per Minute,2020-09-15,63.0,"Shooter, Music, Adventure, Indie, Arcade","PlayStation 4, PC (Microsoft Windows), Xbox One, Nintendo Switch",Action,"hell, roguelike, maze, music and rhythm","Awe Interactive, Awe Interactive, Playtonic Friends",First person,Single player
Spelunky 2,2020-09-15,77.4,"Platform, Adventure, Indie","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Action, Fantasy, Science fiction","roguelike, pvp, permadeath, online co-op, steam, local co-op, sequel, branching paths, roguelite","BlitWorks, Mossmouth",Side view,"Single player, Multiplayer, Co-operative"
Fantasy of Expedition,2020-09-14,,"Role-playing (RPG), Simulator, Strategy, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","real-time combat, roguelite","LW.C, Milk Bottle Studio",Bird view / Isometric,Single player
As Far as the Eye,2020-09-10,60.8,"Simulator, Strategy, Turn-based strategy (TBS), Indie","PlayStation 4, Linux, PC (Microsoft Windows), Mac, Xbox One, Nintendo Switch","Fantasy, Survival, Sandbox","roguelike, management, building, economy, city builder, previously on - utomik, previously on - prime gaming","Goblinz Studio, Unexpected",Bird view / Isometric,Single player
Star Renegades: Deluxe Edition,2020-09-08,,"Role-playing (RPG), Turn-based strategy (TBS)",PC (Microsoft Windows),"Fantasy, Science fiction","roguelike, roguelite","Massive Damage Games, Raw Fury",Side view,Single player
Star Renegades,2020-09-08,83.5,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie","PlayStation 4, PC (Microsoft Windows), Xbox One, Nintendo Switch","Fantasy, Science fiction","pixel art, time management, roguelite","Raw Fury, Massive Damage Games, ININ Games",Side view,Single player
The Binding of Isaac: Game Boy Edition,2020-09-06,,Arcade,Game Boy,Action,"retro, 2d, roguelike, open-source, pixel art, demake, unofficial, retroachievements, unofficial port",Joshua Robertson,Bird view / Isometric,Single player
Ffflood,2020-09-02,,,PC (Microsoft Windows),,"tower defense, roguelike, action roguelike, turret",Vlambeer,Bird view / Isometric,Single player
Time Break Chronicles,2020-09-01,,"Role-playing (RPG), Strategy, Indie",PC (Microsoft Windows),"Fantasy, Science fiction","roguelike, jrpg, roguelite",Warrior General Games,"Bird view / Isometric, Side view",Single player
Spirits Abyss,2020-08-27,70.0,"Platform, Indie",PC (Microsoft Windows),Action,"roguelike, pixel art, roguelite","Caiysware, Anthony Case",Side view,"Single player, Multiplayer, Co-operative"
Otherworld Legends,2020-08-20,,"Role-playing (RPG), Hack and slash/Beat 'em up, Indie","Android, PC (Microsoft Windows), iOS",Action,roguelike,ChillyRoom,Side view,"Single player, Multiplayer, Co-operative"
Dreamscaper,2020-08-13,74.7,"Shooter, Role-playing (RPG), Simulator, Adventure, Indie","Xbox Series X|S, PC (Microsoft Windows), Xbox One, Nintendo Switch",Action,"brawler, surreal, depression, roguelite","Maple Whispering Limited, Freedom Games, Afterburner Studios",Third person,Single player
MagicalGirl Mimi,2020-08-12,,"Simulator, Sport, Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, flight",Nacks Soft,Side view,"Single player, Multiplayer, Co-operative, Split screen"
Dungeon Core,2020-08-12,,"Shooter, Role-playing (RPG), Indie, Arcade","PC (Microsoft Windows), Nintendo Switch",Action,"post-apocalyptic, roguelike, bullet hell, pixel art, procedurally generated, dungeon crawler, steam achievements, roguelite",Talismanic Entertainment,Bird view / Isometric,Single player
Risk of Rain 2,2020-08-11,83.8,"Shooter, Adventure, Indie","Google Stadia, Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Action, Science fiction, Survival","bullet hell, roguelite, looter shooter, previously on - stadia pro","Gearbox Publishing, Hopoo Games",Third person,"Single player, Multiplayer, Co-operative, Split screen"
Pixel Ninja,2020-08-10,,"Simulator, Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, spectacle fighter",Nacks Soft,Side view,"Single player, Multiplayer, Co-operative, Split screen"
Dungeon Throne,2020-08-10,,"Platform, Role-playing (RPG), Indie",PC (Microsoft Windows),Action,"magic, roguelike, pixel graphics",Martín Maestri Martinez,Third person,Single player
Warriors of the Nile,2020-08-07,,"Strategy, Turn-based strategy (TBS), Tactical, Indie",PC (Microsoft Windows),"Action, Warfare","egypt, turn-based combat, roguelite, egyptian mythology, tokyo game show 2020","Stove Studio, Gamirror Games",Bird view / Isometric,Single player
Post Void,2020-08-06,84.7,"Shooter, Indie, Arcade","PlayStation 4, PC (Microsoft Windows), PlayStation 5, Nintendo Switch",Action,"retro, roguelike, fast paced, 1990s, procedural generation, old school, difficult, psychedelic, surreal, pixel graphics, score attack, colorful, violent","YCJY Games, YCJY Games, Super Rare Originals",First person,Single player
UnderMine,2020-08-06,66.7,"Role-playing (RPG), Adventure, Indie","PlayStation 4, Linux, PC (Microsoft Windows), Mac, Xbox One, Nintendo Switch",Action,"knights, wizards, animals, sword, 2d, insects, pets, skeleton, bird, achievements, traps, upgrade, pixel art, pixel graphics, dog, melee combat, mining, upgradable equipment, potions, boss fight, explosion, steam achievements, spider, explosives, upgradeable weapons, skeletons, game reference, rat, bat, potion, melee, movie reference, blacksmith, burning, text dialogue, roguelite, gems, curse, you can pet the dog, pixel art game, bossfight, reference to other games, underground, dungeon, mushroom, bosses, food, bombs, ranged combat, boomerang, health, jumping, spiders, starting fires, money, bunny girl, upgrades, gold, explosive, collection log, cave, bestiary","Thorium, Fandom",Bird view / Isometric,Single player
RogueCube,2020-08-05,,"Shooter, Adventure, Arcade","PlayStation 4, Xbox One, Nintendo Switch",Action,"roguelike, twin stick control","Ratalaika Games, Bipolar Dawn",Bird view / Isometric,"Single player, Multiplayer"
Tesla Force,2020-08-05,60.0,"Shooter, Role-playing (RPG), Adventure, Indie, Arcade","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), iOS, PlayStation 5, Xbox One, Nintendo Switch","Action, Science fiction, Historical","lovecraftian, procedurally generated, roguelite, available on - blacknut",10tons,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Core Defense,2020-07-31,,"Strategy, Tactical, Indie, Arcade","Android, PC (Microsoft Windows), iOS",,"tower defense, roguelike",ehmprah,,Single player
Heroes of Hammerwatch: Ultimate Edition,2020-07-30,,"Role-playing (RPG), Strategy, Hack and slash/Beat 'em up, Adventure, Indie","PlayStation 4, Xbox One, Nintendo Switch","Action, Fantasy",roguelite,"BlitWorks, Crackshell",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Blightbound,2020-07-29,,"Fighting, Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie","PlayStation 4, PC (Microsoft Windows), Xbox One","Action, Fantasy","roguelike, dark fantasy, team-based, dungeon crawler, hand-drawn","Devolver Digital, Ronimo Games","Third person, Side view","Single player, Multiplayer, Co-operative"
Pikmin 2: Colossal Caverns,2020-07-28,,Real Time Strategy (RTS),Nintendo GameCube,"Action, Open world","roguelike, unofficial, pikmin",PikHacker,"First person, Third person, Bird view / Isometric","Single player, Multiplayer, Co-operative, Split screen"
In Death Unchained,2020-07-23,,"Shooter, Adventure","Oculus VR, Meta Quest 2, Oculus Quest","Action, Fantasy, Historical","roguelite, available on - horizon catalog",Superbright,"First person, Virtual Reality",Single player
Meteorfall: Krumit's Tale,2020-07-22,66.4,"Puzzle, Role-playing (RPG), Strategy, Indie, Card & Board Game","PlayStation 4, Android, PC (Microsoft Windows), iOS, PlayStation 5, Mac, Nintendo Switch",Fantasy,"procedurally generated, card based combat, roguelite, deck-building","Slothwerks, indienova",Side view,Single player
Chunker,2020-07-16,,"Shooter, Adventure, Indie",PC (Microsoft Windows),Action,"casual, dark, 2d, roguelike",SHIFTRICK,,Single player
Beat the Machine: Rebooted,2020-07-15,,"Shooter, Indie, Arcade","Xbox Series X|S, PC (Microsoft Windows), Mac, Xbox One",Action,roguelike,Sanguine Studios,Bird view / Isometric,Single player
Neon Abyss,2020-07-13,71.9,"Shooter, Platform, Role-playing (RPG), Adventure, Indie","PlayStation 4, PC (Microsoft Windows), Xbox One, Nintendo Switch",Action,roguelike,"Veewo Games, Yooreka Studio, Team17",Bird view / Isometric,Single player
Golden Light,2020-07-10,60.8,"Adventure, Indie",PC (Microsoft Windows),"Action, Horror, Survival, Stealth",roguelike,"HypeTrain Digital, Mr. Pink",First person,Single player
Phantom Rose Scarlet,2020-07-05,,"Role-playing (RPG), Strategy, Adventure, Indie, Card & Board Game","Android, iOS",Fantasy,"anime, roguelike, deck-building",Studio Maka,Side view,Single player
Shape Shooter,2020-06-26,,Shooter,PC (Microsoft Windows),"Action, Survival","roguelike, procedural generation, artificial intelligence",TorksGame,Bird view / Isometric,Single player
Last Evil,2020-06-24,,"Strategy, Adventure, Indie",PC (Microsoft Windows),"Action, Horror, Erotic","exploration, demon, character customization, 3d, roguelike, female protagonist, demons, achievements, steam trading cards, dungeon crawling, nudity, nsfw, sexual content, steam cloud, card based combat, card collection, male antagonist, remote play, roguelite, deck-building, steam deck, cards, card battler, monster girls, monster, steam families","Flametorch, Critical Bliss","Third person, Side view",Single player
Cannon Father,2020-06-24,,"Shooter, Adventure, Indie, Arcade","PC (Microsoft Windows), Mac","Action, Survival","pirates, casual, 2d, roguelike, treasure hunt, pixel art",Two Scoop Studio,Bird view / Isometric,Single player
Stellar Hunter,2020-06-23,,Role-playing (RPG),Android,Science fiction,roguelike,LTGames Global,Bird view / Isometric,Single player
Conjurer Andy's Repeatable Dungeon,2020-06-23,,"Role-playing (RPG), Strategy, Adventure, Indie, Card & Board Game","PC (Microsoft Windows), Nintendo Switch",Action,roguelike,Firebrand Games,Side view,Single player
The Struggle of Combat,2020-06-21,,"Shooter, Indie",PC (Microsoft Windows),"Action, Warfare","roguelike, combat, roguelite",,Side view,Single player
Cataclysm: Bright Nights,2020-06-18,,"Role-playing (RPG), Simulator, Indie","Linux, Android, PC (Microsoft Windows), Mac","Science fiction, Survival, Sandbox, Open world","roguelike, ascii",,"Bird view / Isometric, Text",Single player
Haxity,2020-06-17,,"Strategy, Indie",PC (Microsoft Windows),Science fiction,"cyberpunk, cybernetics, hacking, roguelite, deck-building",Megapop,Side view,"Single player, Multiplayer"
Gumgem,2020-06-16,,"Platform, Arcade","Linux, PC (Microsoft Windows), Mac",Action,"roguelike, procedural generation",Dazel,Side view,Single player
Colt Canyon,2020-06-16,60.0,"Shooter, Role-playing (RPG), Adventure, Indie, Arcade","PlayStation 4, PC (Microsoft Windows), Xbox One, Nintendo Switch",Action,"pixel art, roguelite","Retrific, Headup Games",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Griftlands,2020-06-15,76.1,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie, Card & Board Game","Xbox Series X|S, PlayStation 4, Linux, PC (Microsoft Windows), Mac, Xbox One, Nintendo Switch","Fantasy, Science fiction","aliens, turn-based, overworld, turn-based combat, digital distribution, pax west 2017, roguelite, deck-building","Skymap Games, Klei Entertainment",Side view,Single player
Jobmania: Eternal Dungeon,2020-06-11,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Adventure",Android,,"roguelike, dungeon crawler, turn-based rpg",Aubjective Technology,,Single player
Rogue Robots,2020-06-11,,"Fighting, Shooter, Indie","PC (Microsoft Windows), Nintendo Switch",Action,"roguelike, gore, violent","Rusto, Bonus Stage Publishing, Rust0 Games",,"Single player, Multiplayer, Co-operative"
Baldi's Basics Plus,2020-06-11,,"Strategy, Indie","Linux, PC (Microsoft Windows), Mac","Action, Horror","retro, parody, roguelike, procedural generation, satire, surreal, survival horror, crowdfunding - kickstarter","Basically, Games!",First person,Single player
Demon's Tier+,2020-06-09,,"Shooter, Role-playing (RPG), Adventure, Indie, Arcade","PlayStation 4, PlayStation 5, PlayStation Vita, Xbox One, Nintendo Switch","Action, Fantasy",roguelike,"COWCAT, Daniel Fernandez Chavez, Diabolical Mind, COWCAT",Bird view / Isometric,"Single player, Co-operative, Split screen"
Weapon Hacker,2020-06-08,,"Platform, Indie",PC (Microsoft Windows),"Action, Science fiction","metroidvania, roguelite",Luke Rissacher,Side view,Single player
Peak’s Edge,2020-06-04,,Puzzle,"Android, iOS",,roguelike,Kenny Sun,,
B99,2020-06-01,,"Shooter, Role-playing (RPG), Indie","Oculus VR, SteamVR",Action,"roguelike, procedural generation, dungeon crawler",Iron Stomach LLC,First person,Single player
Atomicrops,2020-05-28,61.9,"Shooter, Simulator, Strategy, Adventure, Indie","PlayStation 4, PC (Microsoft Windows), Xbox One, Nintendo Switch","Action, Fantasy","post-apocalyptic, farming, mutants, twin stick control, roguelite","Bird Bath Games, Raw Fury",Bird view / Isometric,Single player
Dungeon Witches,2020-05-27,,Role-playing (RPG),"Linux, PC (Microsoft Windows), Mac",Fantasy,"girls, witches, pixelated, roguelite",1oogames,Side view,Single player
Monster Train,2020-05-21,81.3,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie, Card & Board Game","Xbox Series X|S, PC (Microsoft Windows), iOS, PlayStation 5, Xbox One, Nintendo Switch","Action, Fantasy","demon, magic, pvp, demons, roguelite, deck-building, previously on - prime gaming","Good Shepherd Entertainment, Shiny Shoe",Side view,"Single player, Multiplayer"
Crumbling World,2020-05-21,,"Hack and slash/Beat 'em up, Indie, Arcade","Linux, PC (Microsoft Windows), Mac","Action, Fantasy","casual, retro, medieval, magic, roguelike, dark fantasy, dragon, stylized, atmospheric, procedurally generated, low-poly",Dume Arts,"Third person, Bird view / Isometric",Single player
9 Till Void,2020-05-19,,"Strategy, Turn-based strategy (TBS), Tactical, Indie, Card & Board Game",PC (Microsoft Windows),Action,"roguelike, deck-building",Ben Allen,Bird view / Isometric,Single player
The Elder Scrolls: Blades,2020-05-12,49.4,"Role-playing (RPG), Adventure","Android, iOS, Nintendo Switch","Action, Fantasy, Open world","arena, character customization, magic, roguelike, leveling, dungeon crawling, procedurally generated, melee combat, free-to-play, linear gameplay, quest hub, endless mode, dungeon, quest, mobile games, town management","Bethesda Softworks, Bethesda Game Studios","First person, Virtual Reality","Single player, Multiplayer"
Hollow,2020-05-11,,"Platform, Indie","PC (Microsoft Windows), Mac",Action,roguelite,,Bird view / Isometric,Single player
Wizodd,2020-05-11,,"Shooter, Adventure, Indie, Arcade","PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Action, Fantasy","retro, 2d, roguelike, pixel graphics, dungeon crawler, deliberately retro","Gagonfe, JanduSoft",Bird view / Isometric,Single player
Ruins,2020-04-26,,"Role-playing (RPG), Turn-based strategy (TBS)","Linux, Android, PC (Microsoft Windows), Mac",Fantasy,"roguelike, procedural generation, tabletop, procedurally generated, dungeon crawler, turn-based rpg",Ash McAllan,Bird view / Isometric,"Single player, Multiplayer"
Space Raiders in Space,2020-04-16,,"Shooter, Role-playing (RPG), Strategy, Adventure, Indie, Arcade","PC (Microsoft Windows), Xbox One, Nintendo Switch","Action, Comedy","tower defense, roguelike, free-to-play, comic book, replayability","2 Stupid Devs, Destructive Creations",,Single player
Slash Roll,2020-04-13,,"Strategy, Turn-based strategy (TBS), Indie, Card & Board Game","Linux, PC (Microsoft Windows)","Fantasy, Comedy","roguelike, dice, roguelite, deck-building",NiankSoft,First person,Single player
Gun Rounds,2020-04-11,,"Shooter, Role-playing (RPG), Strategy, Turn-based strategy (TBS), Arcade","Android, PC (Microsoft Windows), iOS, Mac, Nintendo Switch",Action,roguelike,Blabberf,,Single player
Infinite Dronin,2020-04-07,,Hack and slash/Beat 'em up,PC (Microsoft Windows),"Action, Science fiction","roguelike, difficult","NeoBird, upjers",,Single player
Pagan Hope,2020-04-06,,"Role-playing (RPG), Hack and slash/Beat 'em up",PC (Microsoft Windows),"Action, Fantasy, Survival","wizards, magic, roguelike, bow and arrow",Valentin Ticu,Bird view / Isometric,Single player
HyperParasite,2020-04-03,70.0,"Fighting, Shooter, Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie, Arcade","PlayStation 4, PC (Microsoft Windows), Xbox One, Nintendo Switch",Action,"retro, difficult, twin stick control, roguelite","Troglobytes Games, Hound Picked Games, QubicGames S.A.",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Self.destroy(),2020-04-02,,"Puzzle, Indie",PC (Microsoft Windows),Action,"roguelike, procedural generation",Maxine Red,Bird view / Isometric,Single player
Strike Buster Prototype,2020-03-30,,"Shooter, Adventure, Arcade",PC (Microsoft Windows),Action,roguelike,,Bird view / Isometric,Single player
Pangeon,2020-03-29,50.0,"Platform, Role-playing (RPG), Adventure, Indie","PlayStation 4, PC (Microsoft Windows), Xbox One, Nintendo Switch",Action,"roguelike, procedural generation, random level generation, dungeon crawler","Gaming Factory S.A., Ultimate Games S.A., Skrypious, Ultimate Games",First person,Single player
VolticPistol,2020-03-26,,"Adventure, Indie","Linux, PC (Microsoft Windows)",Action,"roguelike, bullet hell",Sunset Arctic Games,,Single player
Metal Max Xeno Reborn,2020-03-26,,"Shooter, Role-playing (RPG), Adventure","PlayStation 4, PC (Microsoft Windows), Nintendo Switch","Action, Science fiction, Open world","post-apocalyptic, mech, roguelike, jrpg, non-linear, turn-based combat","Kadokawa Games, 24Frame, Cattle Call, PQube, Clouded Leopard Entertainment Inc.",Third person,Single player
One Step From Eden,2020-03-26,64.2,"Shooter, Real Time Strategy (RTS), Role-playing (RPG), Strategy, Adventure, Indie","PlayStation 4, Linux, PC (Microsoft Windows), Mac, Xbox One, Nintendo Switch","Action, Science fiction","crowdfunding - kickstarter, real-time combat, roguelite, tokyo game show 2019, deck-building, grid-based","Maple Whispering Limited, Humble Games, Thomas Moon Kang","Bird view / Isometric, Side view","Single player, Multiplayer, Co-operative"
Sverdheim,2020-03-23,,"Role-playing (RPG), Tactical, Hack and slash/Beat 'em up",PC (Microsoft Windows),Fantasy,"roguelike, procedural generation",,Bird view / Isometric,Single player
Return to Sender,2020-03-20,,"Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, difficult, bullet hell",Carl Games,Third person,Single player
Legend of Keepers,2020-03-19,62.5,"Role-playing (RPG), Simulator, Strategy, Adventure, Indie","Google Stadia, PlayStation 4, Linux, PC (Microsoft Windows), PlayStation 5, Mac, Xbox One, Nintendo Switch",Fantasy,"tower defense, roguelite, previously on - stadia pro","Goblinz Publishing, Goblinz Studio",Side view,"Single player, Multiplayer"
Roundguard,2020-03-13,80.0,"Puzzle, Role-playing (RPG), Simulator, Strategy, Pinball, Indie, Arcade","PlayStation 4, Android, PC (Microsoft Windows), iOS, Mac, Xbox One, Nintendo Switch","Action, Fantasy, Comedy, Kids","physics, roguelike, pachinko, pinball, dungeon crawling, dungeon crawler, roguelite, action roguelike, previously on - apple arcade","The Quantum Astrophysicists Guild, Wonderbelly Games, Wonderbelly Games",,Single player
Porklike: Wurst Comes to Worst,2020-03-11,,"Strategy, Turn-based strategy (TBS), Indie",Web browser,,"retro, roguelike, procedural generation, dungeon crawler, roguelite",Krystian Majewski,"Third person, Bird view / Isometric",Single player
Res Furtiva,2020-03-08,,"Role-playing (RPG), Tactical, Indie","Linux, PC (Microsoft Windows), Mac","Historical, Stealth",roguelike,,,
Atgtha in Absurdia,2020-03-08,,,PC (Microsoft Windows),,roguelike,Tyriq Plummer,,Single player
Pokémon Mystery Dungeon: Rescue Team DX,2020-03-06,78.1,"Role-playing (RPG), Adventure",Nintendo Switch,"Fantasy, Kids",roguelike,"Nintendo of America, Nintendo of Europe, Nintendo, The Pokémon Company, Spike Chunsoft","Third person, Bird view / Isometric",Single player
Pact,2020-03-05,,"Role-playing (RPG), Strategy",PC (Microsoft Windows),Fantasy,"roguelike, procedural generation",porousnapkin,"Bird view / Isometric, Side view",Single player
Thine Cometh,2020-03-05,,"Puzzle, Role-playing (RPG), Adventure","Linux, PC (Microsoft Windows), Mac",Fantasy,roguelike,Deep Root Interactive,Bird view / Isometric,Single player
Miasma Caves,2020-02-28,,"Platform, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","exploration, roguelike, mining, 3d platformer, non-violent",Windy Games,Third person,Single player
Beyond Extinct,2020-02-26,,"Shooter, Adventure, Indie",PC (Microsoft Windows),Action,roguelike,Crania Games,First person,Single player
Warlander,2020-02-26,40.0,"Role-playing (RPG), Adventure",PC (Microsoft Windows),"Action, Fantasy","dark fantasy, gore, roguelite",Clock Drive Games,Third person,Single player
Smart Moves,2020-02-25,,"Puzzle, Adventure, Indie, Arcade, Card & Board Game","PC (Microsoft Windows), Xbox One, Nintendo Switch",,"roguelike, difficult","grin robot, Xitilon, TERNOX",,Single player
Down Hole,2020-02-23,,"Platform, Puzzle, Indie","Web browser, Android, PC (Microsoft Windows), Mac",Survival,roguelite,,Side view,Single player
Pamp Quest,2020-02-20,,"Shooter, Adventure, Indie",PC (Microsoft Windows),"Action, Science fiction, Horror","roguelike, procedural generation, roguelite",WoksOn Studios,First person,Single player
Necronator: Dead Wrong,2020-02-13,70.0,"Real Time Strategy (RTS), Strategy, Indie, Card & Board Game",PC (Microsoft Windows),"Action, Fantasy","tower defense, roguelite","Toge Productions, Modern Wolf",Bird view / Isometric,Single player
Dead Cells: The Bad Seed,2020-02-11,80.9,"Platform, Adventure, Indie","Xbox Series X|S, PlayStation 4, Linux, Android, PC (Microsoft Windows), iOS, PlayStation 5, Mac, Xbox One, Nintendo Switch","Action, Fantasy","metroidvania, roguelite, soulslike","Motion Twin, Evil Empire",Side view,Single player
Stoneshard,2020-02-06,76.8,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical, Adventure, Indie","Linux, PC (Microsoft Windows), Mac","Fantasy, Open world","medieval, roguelike, permadeath, difficult, steam achievements, remote play, steam families","Ink Stains Games, HypeTrain Digital",Bird view / Isometric,Single player
